,area_type,size,total_sqft,bath,balcony,price
135,1,2,950,2,1,57.0
136,0,2,1360,2,1,65.0
138,0,3,1280,3,1,50.4
139,0,3,1260,2,2,85.05
141,0,5,3050,5,1,213.0
143,0,2,1000,2,1,60.0
144,0,2,1167,2,1,43.76
147,0,2,890,2,1,35.0
148,0,3,1612,3,3,46.74
150,0,3,1710,4,2,91.31
151,0,2,957,2,1,58.0
152,0,3,1250,2,3,44.0
154,0,2,1125,2,2,50.0
155,0,2,1020,2,1,30.6
157,0,3,1735,3,3,135.0
158,0,3,2050,3,1,145.0
159,2,4,3750,4,0,760.0
160,1,3,1350,2,3,48.0
161,0,2,1063,2,1,32.0
162,0,3,1904,3,1,150.0
163,1,4,4200,4,2,420.0
164,0,3,2000,3,1,175.0
166,0,3,1425,2,2,75.0
167,0,3,1500,2,1,64.5
168,1,2,1060,2,1,60.0
169,1,3,1470,2,2,70.0
171,0,1,450,1,1,11.0
172,0,2,1152,2,1,64.5
173,0,3,1350,2,1,56.0
174,0,3,1550,3,3,65.0
175,2,3,1500,3,2,100.0
176,2,5,600,3,2,85.0
177,2,1,400,1,0,14.0
178,0,1,705,1,2,67.0
179,1,2,770,1,1,36.0
180,0,2,1242,2,3,51.0
181,0,3,1700,3,2,155.0
182,0,3,2144,3,2,145.0
183,0,3,1704,3,2,110.0
184,0,2,1070,2,1,52.0
185,2,3,1846,3,2,300.0
186,0,2,1340,2,2,55.7
187,1,2,1025,2,1,46.0
189,0,2,1200,2,2,52.0
190,1,4,2250,4,1,110.0
191,0,3,1550,2,3,80.0
194,0,2,1200,2,2,60.0
195,0,2,1327,2,2,98.0
196,0,2,1186,2,2,58.0
197,1,3,1783,3,1,115.0
198,0,3,1400,3,2,56.0
199,0,2,980,2,1,48.0
200,0,2,1285,2,2,82.0
201,0,3,912,2,1,70.0
202,1,2,1225,2,2,47.6
203,0,2,1075,2,1,53.0
204,1,3,1260,2,2,54.0
205,0,3,1282,2,2,48.7
206,0,3,1909,3,2,88.0
207,0,2,1359,2,1,87.0
208,1,2,1207,2,2,43.5
209,2,4,1736,6,0,190.0
210,0,4,2850,4,1,428.0
211,0,3,1595,3,2,65.0
212,1,3,1798,3,2,89.0
213,0,3,1475,3,2,78.29
214,0,3,1580,3,3,100.0
215,0,2,1295,2,1,65.0
217,0,1,589,1,1,27.0
218,0,3,1415,3,3,78.0
219,0,3,1787,3,2,98.29
220,0,3,1787,3,2,125.0
221,0,3,1475,2,3,90.0
222,1,4,2000,4,1,75.5
223,0,2,984,2,1,44.28
225,0,3,2405,4,2,260.0
226,1,2,1080,2,2,72.0
227,2,2,1500,2,1,115.0
228,0,3,1900,3,2,119.0
229,0,2,805,2,1,22.14
230,0,2,1153,2,2,56.4
231,0,2,1148,2,2,60.0
232,0,2,1110,2,2,55.0
233,1,2,1100,2,2,42.0
234,0,2,1290,2,2,110.0
235,0,3,1500,2,1,65.0
236,0,2,1080,2,2,39.0
237,0,3,1933,3,1,129.0
238,1,5,3500,5,2,150.0
239,1,2,1060,2,2,60.0
240,0,1,645,1,1,16.45
243,0,3,1644,3,3,84.0
244,0,2,1285,2,3,72.5
245,2,3,1200,3,1,90.0
246,0,2,910,2,1,40.0
247,0,3,1577,3,1,70.0
248,2,3,4050,3,2,280.0
249,0,3,2420,3,2,185.0
250,0,2,800,1,1,20.0
251,1,2,1060,2,2,55.0
252,0,2,1270,2,2,93.0
253,0,2,900,2,2,22.5
254,1,2,1280,2,1,69.0
255,2,4,1200,2,0,95.0
256,1,2,1025,2,2,36.0
257,0,2,1108,2,1,63.0
259,0,3,3045,3,2,170.0
260,2,4,2900,3,2,300.0
261,0,3,1500,3,2,75.5
262,0,2,1295,2,2,43.9
263,0,2,1162,2,1,59.9
264,0,2,1035,2,2,49.2
265,1,4,1600,4,0,52.8
266,0,3,1464,3,2,46.0
267,0,3,1866,2,2,61.58
268,0,2,700,1,1,26.0
269,0,3,1804,3,2,120.0
270,0,2,913,2,1,32.0
271,0,3,1868,3,2,131.0
272,1,2,883,2,1,45.0
273,2,2,900,2,1,110.0
274,0,3,1664,2,3,73.95
275,0,3,2026,3,2,132.0
276,0,2,1210,2,1,80.9
277,2,4,4111,4,2,250.0
278,0,3,1762,3,3,91.45
279,0,3,1252,3,3,55.0
280,1,2,861,2,1,34.5
281,1,3,1420,2,1,100.0
283,1,3,1490,3,1,78.8
284,0,3,1075,2,1,46.0
285,0,3,1425,2,2,94.0
286,1,2,1200,2,1,40.0
287,0,3,1280,2,2,56.0
288,0,2,1084,2,2,50.0
289,0,2,1015,2,2,25.88
290,0,2,1017,2,1,51.25
291,0,2,1027,2,2,44.0
292,0,2,1069,2,2,45.0
293,0,2,1349,2,1,98.2
294,0,2,1005,2,1,50.0
295,0,2,1417,2,3,75.0
296,2,3,1475,3,1,98.0
298,0,4,2000,4,0,120.0
299,2,3,880,3,1,140.0
300,0,4,1863,3,2,104.0
301,0,2,1010,2,1,29.5
302,0,3,1425,2,1,70.0
303,0,3,1450,3,0,100.0
304,0,3,1847,3,2,105.0
305,0,2,1100,2,3,45.0
306,0,1,525,1,1,26.0
307,0,3,1665,3,2,95.0
308,0,4,1664,4,3,65.0
309,0,3,1850,3,3,150.0
310,0,2,1438,2,3,100.0
311,0,3,1560,3,3,115.0
312,0,2,1350,2,1,55.55
313,0,3,1550,3,3,67.0
314,0,2,1140,2,2,46.5
315,2,5,1200,5,2,180.0
316,0,2,850,2,2,27.0
317,0,2,1280,2,2,75.0
318,1,2,1170,2,2,52.0
319,0,2,1113,2,1,51.0
320,0,2,1385,2,1,83.09
321,0,2,1128,2,1,65.0
322,2,2,1200,2,2,128.0
323,2,4,1200,4,3,165.0
324,0,3,2390,3,2,415.0
325,2,4,2400,4,1,400.0
326,0,3,1464,3,2,56.0
327,0,2,1200,2,2,55.0
329,0,3,1150,2,1,55.0
330,1,3,1645,3,2,95.0
331,0,2,1000,2,1,67.0
332,2,4,2650,4,2,198.0
333,0,2,1192,2,2,74.0
334,0,3,2135,3,2,215.0
335,0,2,1173,2,1,58.0
336,1,2,1020,2,2,45.0
337,0,4,3122,6,2,230.0
338,0,3,1600,3,3,64.0
339,2,2,1200,2,0,79.0
341,0,2,1250,2,2,40.0
342,0,2,1325,2,2,76.0
343,1,3,1850,3,1,150.0
345,0,2,1200,2,2,65.0
346,2,3,1350,2,0,140.0
347,0,3,1260,3,1,49.36
348,0,3,1800,3,0,150.0
349,2,3,11,3,2,74.0
350,1,2,1100,2,1,43.25
351,0,2,1508,2,1,77.0
353,0,2,1388,2,3,57.0
354,0,1,630,1,1,28.35
355,2,3,2000,3,2,365.0
356,0,3,1762,3,1,125.0
357,0,2,950,2,2,50.0
358,0,4,3252,5,3,335.0
359,0,2,1116,2,1,50.0
360,0,2,1308,2,2,89.04
361,0,3,1200,3,0,90.0
362,2,4,1500,4,2,230.0
363,1,1,500,1,1,18.5
364,0,2,1075,2,1,52.0
365,0,1,530,1,0,11.66
366,1,2,1205,2,3,66.0
367,0,2,1075,2,2,60.0
368,1,2,930,2,2,39.0
369,0,2,1380,2,1,60.0
370,0,4,2483,5,2,212.0
371,1,2,1166,2,2,55.0
372,0,2,1050,2,1,65.0
374,0,2,1200,2,2,46.8
375,0,3,1600,2,1,108.0
376,0,3,1935,3,2,110.0
377,0,1,451,1,0,29.9
378,0,3,1800,3,2,95.0
379,0,3,1400,3,0,77.0
380,0,3,1801,3,2,115.0
382,2,2,1200,1,1,36.0
383,0,2,1160,2,2,44.0
384,1,2,1000,2,1,25.0
385,0,2,950,2,1,40.0
386,1,3,1629,3,2,79.0
387,1,3,1580,2,0,134.0
388,0,3,1826,3,2,121.0
389,1,2,1245,2,1,94.0
390,0,2,1145,2,2,45.79
391,0,2,825,2,1,33.0
392,0,3,1693,3,3,108.0
394,1,2,1460,2,1,58.0
395,1,2,1050,2,1,32.0
396,1,2,1260,2,2,55.0
398,1,2,1656,2,1,120.0
399,0,3,1208,3,1,45.0
400,0,3,1910,3,2,161.0
401,0,4,3252,4,1,230.0
402,2,2,1200,2,1,65.0
403,0,4,1200,4,1,175.0
404,0,2,1175,2,1,82.0
405,2,2,1000,2,0,165.0
406,2,4,1200,2,0,125.0
407,0,3,2390,3,2,410.0
409,2,2,550,1,1,62.0
412,0,2,750,2,1,38.0
414,0,3,1550,3,3,64.5
415,1,3,1760,3,2,88.0
416,0,2,1125,2,2,62.0
417,2,3,1350,3,2,150.0
418,2,2,1000,2,1,55.0
419,1,2,1090,2,2,31.48
420,2,2,1200,2,0,60.0
421,0,3,1991,4,2,103.0
422,0,2,1060,2,1,26.5
423,0,2,1105,2,1,75.0
424,1,2,985,2,2,67.0
426,0,3,1590,3,2,79.0
427,0,2,1120,2,2,55.0
428,0,2,1069,2,1,55.0
429,0,3,1933,3,2,140.0
430,1,2,1194,2,0,69.0
431,0,2,1150,2,3,69.0
432,0,2,1240,2,2,47.12
433,0,2,1419,2,2,48.1
436,0,3,1450,3,2,55.0
437,0,3,1630,3,2,68.29
438,0,2,708,1,1,40.0
439,2,3,1000,4,3,110.0
440,2,4,11890,4,3,700.0
441,0,2,1250,2,1,76.0
442,0,3,1400,2,1,95.0
443,0,3,1670,2,3,57.0
444,0,3,1750,3,2,100.0
445,0,2,1404,2,1,71.0
446,0,3,1715,2,2,95.0
447,1,1,630,1,1,34.65
449,0,3,1650,3,2,78.0
450,0,2,1295,2,1,55.47
451,2,3,1800,3,2,252.0
452,0,2,1346,2,1,74.03
453,2,4,1200,4,2,200.0
454,0,2,1150,2,2,55.0
455,1,4,3309,4,3,325.0
456,0,3,1190,2,2,30.35
457,0,3,1620,3,2,98.0
458,0,2,950,2,1,46.96
459,0,1,5000,9,3,360.0
460,0,3,2450,3,0,120.0
461,0,3,1220,2,1,35.23
462,0,2,850,2,1,30.0
463,1,2,1020,2,2,63.0
464,1,2,1100,2,2,50.0
465,0,2,1150,2,2,126.0
466,0,3,1760,2,2,130.0
467,0,3,1800,3,3,110.0
468,0,2,1070,2,1,54.0
469,2,4,1500,4,2,220.0
470,2,2,1440,2,0,95.0
471,0,2,900,2,1,40.0
472,1,4,1200,4,1,230.0
473,0,2,1130,2,1,42.16
474,0,2,1320,2,1,165.0
475,0,2,1270,2,1,98.0
476,1,2,1200,2,1,62.0
478,0,2,1200,2,1,74.0
479,0,2,929,2,0,50.17
480,1,4,1150,4,2,260.0
481,2,4,1125,4,3,180.0
482,2,5,500,3,2,65.0
483,2,5,1200,5,2,190.0
485,0,4,3600,4,3,400.0
486,2,4,2000,4,2,99.0
487,0,2,1208,2,1,49.0
488,0,2,1130,2,2,60.0
489,0,3,1753,3,2,120.0
490,0,5,4500,7,3,337.0
491,2,3,600,3,2,58.0
492,0,2,1196,2,2,94.42
493,1,2,1150,3,3,52.5
494,0,2,1128,2,1,63.0
495,0,2,1000,2,1,53.0
496,0,2,1035,2,1,45.0
497,1,2,950,2,1,32.0
498,0,3,1075,2,1,36.0
499,0,2,1040,2,1,48.5
500,2,2,720,2,1,45.0
501,0,3,1511,3,1,95.0
502,1,3,1300,3,1,58.0
503,0,3,1545,3,1,68.75
504,1,1,375,2,0,26.0
505,0,2,1062,2,3,38.0
506,0,2,1115,2,1,40.0
507,0,2,1000,2,1,35.0
508,0,2,883,2,1,45.0
509,0,2,1195,2,1,70.0
510,2,4,1200,3,1,165.0
511,1,1,700,1,0,41.0
512,0,2,1246,2,1,67.0
513,2,4,660,4,2,90.0
514,2,4,8500,4,2,145.0
515,0,4,1600,4,1,80.0
516,0,4,2805,5,3,154.0
518,2,4,3000,5,1,275.0
519,1,3,1175,2,2,48.0
520,1,3,1595,3,2,115.0
521,0,2,1353,2,2,110.0
522,0,3,1599,3,2,125.0
523,0,2,1150,2,1,70.0
524,0,4,5230,6,1,465.0
525,0,2,1155,2,2,42.74
526,1,1,1200,2,0,85.0
527,0,2,1000,2,1,25.0
529,1,3,1867,3,1,160.0
530,0,2,1251,2,1,47.0
531,0,2,1028,2,1,45.5
532,0,2,1222,2,2,45.0
533,0,3,1170,2,1,66.0
534,0,3,2400,4,1,245.0
535,0,3,1385,2,2,48.48
536,0,2,1372,2,1,68.0
537,0,3,1282,2,2,49.0
539,1,5,3000,3,1,528.0
540,0,2,1135,2,1,39.73
541,1,3,1768,3,2,101.0
542,1,3,1325,2,1,90.0
543,0,3,1599,3,2,99.0
544,2,3,1500,3,1,61.95
545,2,3,2610,3,0,499.0
546,0,2,1286,2,2,63.0
547,1,5,2845,5,1,140.0
550,0,3,3450,5,2,260.0
551,0,2,1102,2,2,53.67
552,0,2,1350,2,2,54.0
553,0,3,1200,2,2,42.0
555,2,2,1800,1,1,80.0
556,1,2,950,2,1,40.0
557,0,1,525,1,1,27.25
558,1,2,656,2,1,25.0
559,2,4,1780,4,3,175.0
560,0,2,1056,2,1,80.0
561,0,1,595,1,1,33.32
562,1,2,1080,2,2,50.0
563,0,3,2225,3,1,160.0
564,0,2,1126,2,1,28.15
565,0,3,1490,3,1,84.0
566,2,4,2000,4,1,300.0
567,0,3,1550,3,3,100.0
568,0,3,1600,3,2,86.0
569,1,2,1160,2,1,55.0
570,1,4,4144,4,3,315.0
571,0,3,2100,3,2,125.0
572,0,2,1404,2,1,69.3
573,2,4,2230,4,3,225.0
575,0,3,1305,2,1,58.7
576,0,2,1230,2,2,80.0
577,2,2,1200,2,0,65.0
578,0,3,1460,3,1,73.0
580,1,2,967,2,3,45.0
581,1,1,540,1,1,36.0
582,0,1,715,1,2,46.0
583,0,3,2500,3,2,313.0
584,0,3,1578,3,1,180.0
585,0,2,1020,2,1,48.95
586,0,2,1020,2,1,40.0
587,0,2,1253,2,1,102.0
588,0,2,1180,2,2,42.0
589,0,2,961,2,2,38.0
590,1,3,1419,3,3,75.0
591,0,3,1709,3,2,150.0
592,2,2,1600,2,0,115.0
593,0,1,416,1,1,18.5
595,0,3,1430,2,1,65.0
596,0,2,1260,2,2,45.0
597,1,3,1630,3,2,85.0
598,0,3,1249,3,2,44.71
599,0,3,1450,2,3,85.0
600,0,3,2791,3,1,223.0
601,0,1,600,1,0,90.0
602,1,1,834,1,1,60.0
603,2,3,1125,4,1,70.0
604,0,3,2060,3,2,140.0
606,1,2,891,2,1,25.0
607,0,2,1133,2,1,49.07
608,1,3,1075,2,1,37.0
609,0,4,3000,5,2,260.0
610,2,4,2440,5,2,425.0
611,1,2,1200,2,2,55.0
612,0,2,1075,2,2,45.8
613,0,2,1140,2,2,40.0
614,2,5,940,4,2,150.0
616,0,2,1090,2,1,42.0
617,1,4,1500,4,1,70.0
618,0,4,4104,4,2,360.0
620,0,3,1920,3,2,134.0
621,1,2,1374,2,2,95.0
623,0,1,711,1,1,36.0
624,0,3,1500,3,3,95.0
625,0,3,1720,3,3,100.0
626,0,3,1400,3,2,60.0
627,1,2,1030,2,2,49.0
628,0,2,1200,2,1,85.0
631,0,3,2250,3,2,160.0
632,0,2,1000,2,2,50.0
633,0,1,469,1,0,25.0
634,0,4,3800,4,3,250.0
635,0,2,883,2,1,29.0
636,0,3,1820,2,3,86.0
637,1,3,1440,2,3,65.0
639,1,4,2500,5,2,325.0
640,0,2,1225,2,2,48.0
641,2,3,4000,3,1,660.0
643,0,1,750,1,2,40.0
644,0,2,1180,2,3,80.0
645,0,2,1194,2,2,47.0
646,0,3,1500,2,2,62.0
647,0,2,1160,2,2,52.2
649,0,3,2378,3,1,262.0
650,0,2,1128,2,1,60.0
651,0,3,1500,3,1,150.0
652,1,3,1220,2,1,35.23
653,0,2,1210,2,2,58.0
654,0,3,1100,2,1,58.0
655,0,3,1200,3,2,46.0
657,0,3,1641,3,2,66.0
658,0,2,1200,2,1,45.0
659,0,2,1260,2,1,67.39
660,0,3,1720,3,3,78.0
662,0,2,1210,2,1,45.98
663,1,4,2200,4,2,200.0
664,0,3,1075,2,1,45.0
665,1,3,1702,3,2,130.0
666,0,2,1630,2,2,200.0
667,0,2,1141,2,2,38.55
668,0,3,2072,3,2,108.0
670,1,3,1200,2,0,70.0
671,0,3,1350,3,0,77.0
673,0,3,1180,2,2,78.34
675,0,2,1355,2,2,115.0
676,2,1,600,1,0,50.0
678,0,3,1640,2,1,120.0
679,2,5,1200,5,0,100.0
680,0,3,1190,2,2,57.0
681,2,4,2400,4,2,375.0
682,0,2,1019,2,2,49.85
683,0,3,1875,3,2,165.0
684,0,3,1250,3,2,40.0
685,2,3,1200,3,2,140.0
686,0,2,1140,2,1,56.0
687,0,3,1683,3,1,109.0
689,0,4,2118,4,2,111.0
690,1,4,1380,3,0,58.0
691,0,2,1083,2,2,61.75
692,2,2,600,2,1,55.0
693,1,3,2300,3,3,120.0
694,0,2,1240,2,2,60.0
695,0,3,1750,3,1,120.0
697,2,3,1500,3,1,139.0
698,0,2,985,2,1,40.39
699,2,3,1500,2,1,87.0
700,1,2,1125,2,1,32.49
701,1,2,950,2,1,44.0
703,0,3,1580,3,3,76.0
704,2,3,1092,2,1,98.5
705,1,2,1090,2,1,28.34
706,1,3,2264,3,1,159.0
707,0,3,1033,2,2,25.53
708,0,2,810,2,2,24.5
709,0,2,1045,2,0,45.0
710,0,2,1337,2,1,82.0
711,0,2,1200,2,2,32.0
712,0,3,1580,3,2,160.0
713,0,3,1500,2,3,54.0
714,0,3,1640,4,2,91.0
715,0,3,1570,3,2,62.0
716,0,3,1470,2,2,82.0
717,0,2,1160,2,2,40.61
718,1,2,1050,2,1,71.0
719,0,3,1855,3,1,225.0
720,0,3,1460,2,1,90.0
721,1,3,1823,3,2,100.0
722,0,2,1094,2,2,42.0
723,0,2,1153,2,2,57.0
724,1,3,1325,3,1,57.0
725,2,4,1200,3,2,85.0
726,1,3,1590,2,2,125.0
727,2,5,1210,4,2,160.0
728,2,4,1200,4,0,220.0
729,0,2,1202,2,1,48.0
730,1,2,1202,2,1,53.0
731,0,2,1200,2,3,62.5
732,0,3,1688,3,1,118.0
733,1,2,1020,2,1,52.0
734,0,2,1185,2,2,47.0
735,0,2,1235,2,1,52.04
736,0,4,3205,5,1,500.0
737,0,2,1077,2,2,37.64
738,0,3,1415,2,3,66.0
739,0,3,2330,3,2,162.0
740,0,2,805,2,2,35.0
741,1,1,425,1,0,20.03
742,0,2,1155,2,3,59.95
743,0,4,5270,4,3,1250.0
744,0,2,656,2,1,22.0
745,1,2,1100,2,0,48.0
746,0,2,1150,2,3,52.0
747,2,1,600,1,1,60.0
748,0,2,1468,2,1,140.0
749,2,4,4300,5,2,550.0
750,0,3,2280,4,2,126.0
751,0,2,1341,2,1,97.0
752,0,2,1279,2,1,77.0
753,0,4,2225,4,0,98.88
754,0,2,1185,2,2,43.51
755,0,3,1750,3,2,85.0
756,0,2,1152,2,1,53.5
757,2,5,1000,4,1,160.0
758,0,2,1300,2,3,36.0
759,2,4,2760,4,2,155.0
760,0,2,1070,2,2,39.0
761,0,2,1101,2,0,45.0
762,0,2,775,2,1,55.0
763,0,1,667,1,1,36.85
764,0,2,1070,2,1,55.0
765,1,3,1875,2,2,110.0
766,0,2,735,2,1,57.99
767,2,5,4360,4,1,90.0
768,0,3,1750,3,2,130.0
769,0,2,1215,2,1,67.0
771,0,2,820,2,1,30.0
773,0,3,1779,3,2,89.61
774,1,2,1105,2,2,58.0
776,0,3,1650,3,2,60.0
777,0,2,1694,2,2,150.0
778,0,3,2376,3,1,203.0
779,0,3,1975,3,3,150.0
780,0,2,674,2,1,33.0
781,0,2,1185,2,1,41.0
782,0,1,445,1,0,28.0
784,0,3,1475,3,2,75.0
785,0,3,1618,3,3,82.5
786,0,2,1120,2,0,65.0
787,0,4,2181,3,2,152.0
788,2,4,1200,4,0,90.0
790,0,3,1556,2,1,59.13
791,0,2,1179,2,1,66.02
792,0,2,1296,2,2,83.0
793,1,2,1275,2,2,52.0
795,0,3,1400,2,2,77.0
796,0,2,1222,2,1,63.0
797,0,2,940,2,1,41.0
798,0,2,1185,2,2,42.6
799,0,3,1779,3,2,112.0
800,0,3,1615,3,2,59.76
802,0,2,1056,2,1,61.0
803,0,2,1100,2,0,46.0
804,1,2,920,2,1,40.0
805,0,3,1602,2,0,75.0
806,1,2,1176,2,0,62.0
807,2,4,675,3,1,59.0
808,0,3,1352,3,0,135.0
809,1,3,1717,3,3,99.0
810,2,4,10961,4,1,80.0
811,0,4,2119,4,3,111.0
812,0,2,1246,2,1,67.3
813,0,2,1141,2,1,42.79
814,1,2,1157,2,1,84.0
815,0,2,1025,2,2,27.68
816,1,1,650,1,2,33.0
817,0,2,1349,2,1,98.0
818,0,3,1566,3,1,83.3
819,0,4,2830,3,3,195.0
820,1,3,1320,2,1,38.13
821,0,3,1780,3,1,84.83
822,0,2,1091,2,1,34.9
823,0,4,3670,4,3,300.0
824,1,2,918,2,1,50.49
825,0,4,1950,4,0,130.0
826,0,3,1695,3,1,90.0
827,0,3,1705,3,2,95.0
828,1,3,1375,3,2,75.0
829,0,1,525,1,1,30.0
830,1,2,1447,2,1,83.0
831,0,2,1114,2,1,39.0
832,0,3,1450,2,1,100.0
833,0,2,460,1,0,15.0
834,1,2,1022,2,2,40.0
835,1,2,1000,2,2,45.0
836,0,2,1128,2,1,68.75
837,0,2,1180,2,2,57.0
839,2,2,1200,2,1,150.0
840,0,3,3761,3,2,660.0
841,0,2,1339,2,3,75.0
842,0,3,1400,2,3,55.0
843,0,2,1040,2,1,39.52
844,0,2,1198,2,2,58.0
846,0,3,1691,3,2,113.0
847,0,3,1075,3,2,36.0
848,0,3,1630,3,2,194.0
849,0,3,1240,3,2,43.5
851,0,3,1665,3,2,86.58
853,1,2,1142,2,2,70.0
854,0,3,1976,3,1,184.0
856,0,3,1853,3,2,82.0
858,0,2,1567,2,2,92.0
859,0,2,1090,2,1,27.24
861,2,4,2400,4,1,640.0
862,0,2,1175,2,2,51.47
863,1,2,1200,2,2,52.0
864,1,2,995,2,1,41.0
865,0,2,884,2,1,41.1
866,2,5,900,3,2,80.0
867,1,2,1170,2,2,57.0
868,0,2,1225,2,1,46.55
869,0,2,1342,2,1,73.3
870,1,2,1345,2,1,67.0
871,1,3,1320,3,0,65.0
873,0,2,1140,2,1,49.39
874,0,2,1300,2,1,50.0
875,0,3,1652,3,2,85.0
876,0,3,2072,4,2,142.0
878,0,3,1360,2,1,71.0
879,0,3,1145,2,2,60.0
880,1,3,1540,2,0,40.0
881,0,2,1278,2,2,95.0
882,0,1,630,1,1,40.0
883,0,3,1100,3,2,58.0
884,2,3,1200,3,0,95.0
888,1,5,3300,5,2,240.0
889,2,5,4500,5,1,415.0
890,0,3,1356,2,3,66.0
891,0,2,823,2,1,28.0
892,2,3,1200,2,0,66.0
893,1,2,1050,2,0,37.0
894,0,2,1180,2,1,69.0
895,0,2,1116,2,3,51.91
896,0,2,1070,2,1,42.79
897,0,2,1385,2,3,80.0
898,2,1,1000,1,1,70.0
899,1,3,1897,3,2,130.0
900,0,2,1005,2,1,55.78
901,0,3,1575,3,2,125.0
902,0,2,975,2,1,65.0
903,0,3,1904,3,2,120.0
904,0,1,930,1,1,30.0
906,0,1,686,1,1,17.0
907,2,2,2400,3,1,150.0
908,2,2,1410,1,0,233.0
909,1,3,2238,3,1,140.0
910,0,2,1174,2,1,69.0
911,1,4,3800,4,3,239.0
912,0,3,2225,2,1,125.0
913,0,2,1250,2,0,200.0
914,0,2,918,2,2,52.0
915,0,2,1250,2,3,52.0
917,1,2,1170,2,3,53.0
918,0,1,1300,1,0,200.0
919,1,2,793,2,1,45.0
920,0,3,1710,3,2,107.0
921,0,3,1082,2,1,57.5
922,0,2,1001,2,2,33.03
924,0,3,1590,2,1,54.0
925,0,3,2400,2,0,80.0
926,0,3,1554,3,2,55.0
928,0,5,4239,5,2,423.0
929,1,2,884,1,0,58.0
930,0,2,1045,2,1,98.89
931,0,2,1019,2,2,49.86
932,0,3,1935,4,2,130.0
933,0,3,1135,2,2,39.73
